
MAME4ALL GAME LIST (2270 romsets)
---------------------------------

Name:     Description:
whodunit  "Who Dunit (version 8.0)"
whoopee   "Whoopee (Japan) / Pipi & Bibis (World)"
wildfang  "Wild Fang"
wwestern  "Wild Western (set 1)"
wwester1  "Wild Western (set 2)"
willow    "Willow (Japan, English)"
willowj   "Willow (Japan, Japanese)"
wjammers  "Windjammers / Flying Power Disc"
wiping    "Wiping"
wiseguy   "Wise Guy"
wizt      "Wiz (Taito)"
wiz       "Wiz"
wow       "Wizard of Wor"
wonder3   "Wonder 3 (Japan)"
wboyu     "Wonder Boy (not encrypted)"
wboy      "Wonder Boy (set 1)"
wboy2     "Wonder Boy (set 2)"
wboy3     "Wonder Boy (set 3)"
wboy4u    "Wonder Boy (set 4 not encrypted)"
wboy4     "Wonder Boy (set 4)"
wbdeluxe  "Wonder Boy Deluxe"
wb3bl     "Wonder Boy III - Monster Lair (bootleg)"
wb3       "Wonder Boy III - Monster Lair (set 1)"
wb3a      "Wonder Boy III - Monster Lair (set 2)"
wbmlju    "Wonder Boy in Monster Land (Japan not encrypted)"
wbmlj     "Wonder Boy in Monster Land (Japan set 1)"
wbmlj2    "Wonder Boy in Monster Land (Japan set 2)"
wbml      "Wonder Boy in Monster Land"
wndrmomo  "Wonder Momo"
wldcourt  "World Court (Japan)"
wc90      "World Cup 90"
wh2j      "World Heroes 2 Jet"
wh2       "World Heroes 2"
whp       "World Heroes Perfect"
wh1       "World Heroes"
wseries   "World Series: The Season"
wsf       "World Soccer Finals"
ws89      "World Stadium '89 (Japan)"
ws90      "World Stadium '90 (Japan)"
ws        "World Stadium (Japan)"
wtennis   "World Tennis"
worldwar  "World Wars (Japan)"
wrestwar  "Wrestle War"
xmultipl  "X Multiply (Japan)"
xmen2pj   "X-Men (2 Players Japan)"
xmen      "X-Men (4 Players)"
xmen6p    "X-Men (6 Players)"
xsleenab  "Xain'd Sleena (bootleg)"
xsleena   "Xain'd Sleena"
xenophob  "Xenophobe"
xevios    "Xevios"
xeviousa  "Xevious (Atari)"
xevious   "Xevious (Namco)"
xybots    "Xybots"
yamyam    "Yam! Yam!?"
yamato    "Yamato (set 1)"
yamato2   "Yamato (set 2)"
yankeedo  "Yankee DO!"
yesnoj    "Yes/No Sinri Tokimeki Chart"
yiear     "Yie Ar Kung-Fu (set 1)"
yiear2    "Yie Ar Kung-Fu (set 2)"
youkaidk  "Yokai Douchuuki (Japan new version)"
yokaidko  "Yokai Douchuuki (Japan old version)"
yosakdon  "Yosaku To Donbee (bootleg)"
youma     "Youma Ninpou Chou (Japan)"
yuyugogo  "Yuuyu no Quiz de GO!GO! (Japan)"
zarzon    "Zarzon"
zaxxon    "Zaxxon (set 1)"
zaxxon2   "Zaxxon (set 2)"
zedblade  "Zed Blade / Operation Ragnarok"
zektor    "Zektor"
zerotime  "Zero Time"
zerowing  "Zero Wing"
zerozone  "Zero Zone"
dzigzag   "Zig Zag (Dig Dug hardware)"
zigzag    "Zig Zag (Galaxian hardware, set 1)"
zigzag2   "Zig Zag (Galaxian hardware, set 2)"
zingzip   "Zing Zing Zip"
zoar      "Zoar"
zodiack   "Zodiack"
zookeep   "Zoo Keeper (set 1)"
zookeep2  "Zoo Keeper (set 2)"
zookeep3  "Zoo Keeper (set 3)"
zwackery  "Zwackery"
zzyzzyxx  "Zzyzzyxx (set 1)"
zzyzzyx2  "Zzyzzyxx (set 2)"
